,time_stamp,congestion_rate,week
107,2023-03-06 09:00:00,0.11827956989247312,0
108,2023-03-06 10:00:00,0.10752688172043011,0
109,2023-03-06 11:00:00,0.10752688172043011,0
110,2023-03-06 12:00:00,0.12365591397849462,0
111,2023-03-06 13:00:00,0.11827956989247312,0
112,2023-03-06 14:00:00,0.11827956989247312,0
113,2023-03-06 15:00:00,0.10215053763440861,0
114,2023-03-06 16:00:00,0.12365591397849462,0
115,2023-03-06 17:00:00,0.1881720430107527,0
116,2023-03-06 18:00:00,0.27419354838709675,0
117,2023-03-06 19:00:00,0.5268817204301075,0
118,2023-03-06 20:00:00,0.8602150537634409,0
119,2023-03-06 21:00:00,0.8870967741935484,0
120,2023-03-06 22:00:00,0.8279569892473119,0
121,2023-03-06 23:00:00,0.8817204301075269,0
122,2023-03-07 00:00:00,0.9139784946236559,0
123,2023-03-07 01:00:00,0.8978494623655914,0
124,2023-03-07 02:00:00,0.8602150537634409,0
125,2023-03-07 03:00:00,0.7903225806451613,0
126,2023-03-07 04:00:00,0.5591397849462365,0
127,2023-03-07 05:00:00,0.3548387096774194,0
128,2023-03-07 06:00:00,0.27956989247311825,0
129,2023-03-07 07:00:00,0.23655913978494625,0
130,2023-03-07 08:00:00,0.23655913978494625,0
131,2023-03-07 09:00:00,0.21505376344086022,0
132,2023-03-07 10:00:00,0.1989247311827957,0
133,2023-03-07 11:00:00,0.1989247311827957,0
134,2023-03-07 12:00:00,0.1989247311827957,0
135,2023-03-07 13:00:00,0.1989247311827957,0
136,2023-03-07 14:00:00,0.1989247311827957,0
137,2023-03-07 15:00:00,0.1989247311827957,0
138,2023-03-07 16:00:00,0.22043010752688172,0
139,2023-03-07 17:00:00,0.2956989247311828,0
140,2023-03-07 18:00:00,0.3763440860215054,0
141,2023-03-07 19:00:00,0.5698924731182796,0
142,2023-03-07 20:00:00,0.8279569892473119,0
143,2023-03-07 21:00:00,0.8655913978494624,0
144,2023-03-07 22:00:00,0.7956989247311828,0
145,2023-03-07 23:00:00,0.8387096774193549,0
146,2023-03-08 00:00:00,0.8387096774193549,0
147,2023-03-08 01:00:00,0.8494623655913979,0
148,2023-03-08 02:00:00,0.8064516129032258,0
149,2023-03-08 03:00:00,0.6989247311827957,0
150,2023-03-08 04:00:00,0.5268817204301075,0
151,2023-03-08 05:00:00,0.41397849462365593,0
152,2023-03-08 06:00:00,0.3225806451612903,0
153,2023-03-08 07:00:00,0.3064516129032258,0
154,2023-03-08 08:00:00,0.25268817204301075,0
155,2023-03-08 09:00:00,0.23118279569892472,0
